Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-12-05,Valladolid,Alaves,1,2,A,2.3,3.0,3.4,2015,,,,,,,,,,,,,,,
2015-12-05,Alcorcon,Lugo,1,1,D,1.7,3.5,5.25,2015,,,,,,,,,,,,,,,
2015-12-05,Elche,Tenerife,0,0,D,2.25,3.0,3.5,2015,,,,,,,,,,,,,,,
2015-12-06,Ponferradina,Osasuna,3,0,H,2.3,3.1,3.25,2015,,,,,,,,,,,,,,,
2015-12-06,Oviedo,Llagostera,2,1,H,1.67,3.4,6.0,2015,,,,,,,,,,,,,,,
2015-12-06,Numancia,Leganes,1,2,A,2.7,3.1,2.7,2015,,,,,,,,,,,,,,,
2015-12-06,Girona,Cordoba,1,2,A,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2015-12-06,Huesca,Mirandes,1,2,A,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2015-12-06,Mallorca,Albacete,2,0,H,2.2,3.0,3.6,2015,,,,,,,,,,,,,,,
2015-12-07,Ath Bilbao B,Zaragoza,0,1,A,2.4,3.0,3.2,2015,,,,,,,,,,,,,,,
2015-12-12,Alaves,Alcorcon,1,1,D,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-12-12,Cordoba,Llagostera,2,0,H,1.67,3.6,5.5,2015,,,,,,,,,,,,,,,
2015-12-12,Girona,Elche,0,1,A,1.73,3.5,5.0,2015,,,,,,,,,,,,,,,
2015-12-12,Lugo,Ponferradina,3,1,H,2.25,3.1,3.4,2015,,,,,,,,,,,,,,,
2015-12-12,Tenerife,Mallorca,2,1,H,1.91,3.3,4.2,2015,,,,,,,,,,,,,,,
2015-12-13,Mirandes,Oviedo,1,2,A,2.2,3.2,3.4,2015,,,,,,,,,,,,,,,
2015-12-13,Leganes,Gimnastic,1,0,H,1.83,3.5,4.33,2015,,,,,,,,,,,,,,,
2015-12-13,Zaragoza,Numancia,2,2,D,1.8,3.4,4.75,2015,,,,,,,,,,,,,,,
2015-12-13,Albacete,Valladolid,0,1,A,2.2,3.2,3.4,2015,,,,,,,,,,,,,,,
2015-12-13,Almeria,Huesca,1,2,A,2.38,3.2,3.0,2015,,,,,,,,,,,,,,,
2015-12-13,Osasuna,Ath Bilbao B,1,1,D,1.73,3.5,5.0,2015,,,,,,,,,,,,,,,
2015-12-18,Elche,Cordoba,2,1,H,2.15,3.2,3.5,2015,,,,,,,,,,,,,,,
2015-12-19,Gimnastic,Zaragoza,3,1,H,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-12-19,Mallorca,Girona,1,1,D,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2015-12-19,Numancia,Osasuna,1,3,A,2.15,3.0,3.75,2015,,,,,,,,,,,,,,,
2015-12-19,Ponferradina,Alaves,0,1,A,2.3,3.1,3.3,2015,,,,,,,,,,,,,,,
2015-12-20,Alcorcon,Albacete,1,0,H,1.73,3.5,5.0,2015,,,,,,,,,,,,,,,
2015-12-20,Huesca,Leganes,1,1,D,2.7,3.1,2.7,2015,,,,,,,,,,,,,,,
2015-12-20,Llagostera,Mirandes,0,0,D,2.9,3.1,2.5,2015,,,,,,,,,,,,,,,
2015-12-20,Oviedo,Almeria,1,0,H,1.75,3.5,4.75,2015,,,,,,,,,,,,,,,
2015-12-20,Valladolid,Tenerife,4,1,H,2.15,3.1,3.6,2015,,,,,,,,,,,,,,,
2015-12-21,Ath Bilbao B,Lugo,1,1,D,2.3,3.1,3.3,2015,,,,,,,,,,,,,,,
2016-01-02,Osasuna,Gimnastic,1,1,D,1.95,3.3,4.0,2015,,,,,,,,,,,,,,,
2016-01-02,Alaves,Ath Bilbao B,3,0,H,1.67,3.3,6.0,2015,,,,,,,,,,,,,,,
2016-01-02,Elche,Mallorca,1,1,D,1.91,3.3,4.2,2015,,,,,,,,,,,,,,,
2016-01-03,Albacete,Ponferradina,2,2,D,2.15,3.0,3.8,2015,,,,,,,,,,,,,,,
2016-01-03,Almeria,Llagostera,2,1,H,1.83,3.2,4.75,2015,,,,,,,,,,,,,,,
2016-01-03,Cordoba,Mirandes,1,2,A,2.25,3.1,3.4,2015,,,,,,,,,,,,,,,
2016-01-03,Leganes,Oviedo,1,1,D,1.8,3.25,5.0,2015,,,,,,,,,,,,,,,
2016-01-03,Lugo,Numancia,2,3,A,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2016-01-03,Zaragoza,Huesca,3,3,D,1.95,3.2,4.2,2015,,,,,,,,,,,,,,,
2016-01-04,Girona,Valladolid,1,0,H,2.1,3.2,3.6,2015,,,,,,,,,,,,,,,
2016-01-04,Tenerife,Alcorcon,1,2,A,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2016-01-09,Numancia,Alaves,0,1,A,2.5,3.1,2.9,2015,,,,,,,,,,,,,,,
2016-01-09,Valladolid,Elche,1,1,D,2.0,3.1,4.2,2015,,,,,,,,,,,,,,,
2016-01-09,Ath Bilbao B,Albacete,0,1,A,2.6,3.0,2.9,2015,,,,,,,,,,,,,,,
2016-01-09,Alcorcon,Girona,1,0,H,2.05,3.2,3.75,2015,,,,,,,,,,,,,,,
2016-01-09,Gimnastic,Lugo,1,2,A,2.0,3.1,4.2,2015,,,,,,,,,,,,,,,
2016-01-10,Ponferradina,Tenerife,0,1,A,2.05,3.2,3.8,2015,,,,,,,,,,,,,,,
2016-01-10,Cordoba,Mallorca,3,1,H,2.05,3.1,4.0,2015,,,,,,,,,,,,,,,
2016-01-10,Huesca,Osasuna,0,1,A,2.4,3.0,3.2,2015,,,,,,,,,,,,,,,
2016-01-10,Llagostera,Leganes,0,1,A,3.6,3.1,2.15,2015,,,,,,,,,,,,,,,
2016-01-10,Mirandes,Almeria,1,1,D,2.0,3.2,4.0,2015,,,,,,,,,,,,,,,
2016-01-10,Oviedo,Zaragoza,1,0,H,2.15,3.1,3.6,2015,,,,,,,,,,,,,,,
2016-01-16,Osasuna,Oviedo,0,0,D,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2016-01-16,Tenerife,Ath Bilbao B,2,0,H,1.8,3.25,5.0,2015,,,,,,,,,,,,,,,
2016-01-16,Albacete,Numancia,0,2,A,2.2,3.2,3.4,2015,,,,,,,,,,,,,,,
2016-01-16,Elche,Alcorcon,2,0,H,2.38,3.0,3.25,2015,,,,,,,,,,,,,,,
2016-01-16,Zaragoza,Llagostera,1,0,H,1.5,3.6,8.0,2015,,,,,,,,,,,,,,,
2016-01-17,Lugo,Huesca,1,1,D,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2016-01-17,Leganes,Mirandes,4,0,H,1.85,3.2,4.75,2015,,,,,,,,,,,,,,,
2016-01-17,Mallorca,Valladolid,0,1,A,2.4,3.1,3.1,2015,,,,,,,,,,,,,,,
2016-01-17,Almeria,Cordoba,0,1,A,2.38,3.1,3.1,2015,,,,,,,,,,,,,,,
2016-01-17,Alaves,Gimnastic,1,3,A,1.95,3.2,4.2,2015,,,,,,,,,,,,,,,
