Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-11-15,Avellino,Latina,3,1,H,1.95,3.2,4.2,2015,,,,,,,,,,,,,,,
2015-11-15,Ascoli,Perugia,1,0,H,2.88,3.1,2.38,2015,,,,,,,,,,,,,,,
2015-11-15,Cesena,Bari,0,2,A,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-11-20,Pescara,Avellino,3,2,H,2.0,3.1,4.1,2015,,,,,,,,,,,,,,,
2015-11-21,Crotone,Ternana,3,0,H,1.8,3.3,4.75,2015,,,,,,,,,,,,,,,
2015-11-21,Latina,Salernitana,2,2,D,2.0,3.1,4.2,2015,,,,,,,,,,,,,,,
2015-11-21,Novara,Spezia,1,0,H,2.05,3.1,4.0,2015,,,,,,,,,,,,,,,
2015-11-21,Perugia,Brescia,4,0,H,1.95,3.2,4.2,2015,,,,,,,,,,,,,,,
2015-11-21,Pro Vercelli,Como,2,0,H,2.15,3.0,3.8,2015,,,,,,,,,,,,,,,
2015-11-21,Trapani,Modena,2,1,H,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2015-11-21,Vicenza,Cesena,1,1,D,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2015-11-21,Virtus Entella,Virtus Lanciano,1,1,D,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2015-11-22,Bari,Livorno,1,0,H,2.05,3.1,4.0,2015,,,,,,,,,,,,,,,
2015-11-23,Cagliari,Ascoli,3,0,H,1.4,4.2,9.0,2015,,,,,,,,,,,,,,,
2015-11-27,Spezia,Crotone,0,1,A,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2015-11-27,Cesena,Pescara,1,0,H,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-11-27,Salernitana,Pro Vercelli,1,2,A,2.05,3.1,4.0,2015,,,,,,,,,,,,,,,
2015-11-28,Avellino,Perugia,1,2,A,2.38,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-11-28,Brescia,Cagliari,4,0,H,3.6,3.5,2.0,2015,,,,,,,,,,,,,,,
2015-11-28,Como,Bari,1,1,D,3.25,3.1,2.3,2015,,,,,,,,,,,,,,,
2015-11-28,Livorno,Novara,0,1,A,2.38,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-11-28,Modena,Virtus Entella,0,1,A,2.0,3.1,4.2,2015,,,,,,,,,,,,,,,
2015-11-28,Ternana,Vicenza,2,0,H,2.9,3.0,2.6,2015,,,,,,,,,,,,,,,
2015-11-28,Virtus Lanciano,Latina,2,1,H,2.2,3.0,3.6,2015,,,,,,,,,,,,,,,
2015-11-29,Ascoli,Trapani,0,0,D,2.5,3.1,2.9,2015,,,,,,,,,,,,,,,
2015-12-04,Perugia,Modena,1,0,H,1.91,3.1,4.5,2015,,,,,,,,,,,,,,,
2015-12-04,Virtus Entella,Brescia,0,0,D,2.4,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-12-05,Pro Vercelli,Ternana,1,2,A,2.7,2.9,2.9,2015,,,,,,,,,,,,,,,
2015-12-05,Trapani,Avellino,2,1,H,2.25,3.1,3.4,2015,,,,,,,,,,,,,,,
